CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
15910103,NORTH EAST ISD,COLONIAL HILLS,5,INDEPENDENT,2627 KERRYBROOK CT,SAN ANTONIO,78230-4534,19.0,43.0,22.0,13.0
15910104,NORTH EAST ISD,DELLVIEW ELEM.,5,INDEPENDENT,7235 DEWHURST RD,SAN ANTONIO,78213-3437,12.0,52.0,32.0,20.0
15910105,NORTH EAST ISD,EAST TERRELL HI,5,INDEPENDENT,4415 BLOOMDALE DR,SAN ANTONIO,78218-3626,10.0,43.0,28.0,17.0
15910106,NORTH EAST ISD,HARMONY HILLS E,5,INDEPENDENT,10727 MEMORY LN,SAN ANTONIO,78216-3400,31.0,62.0,26.0,12.0
15910107,NORTH EAST ISD,JACKSON-KELLER,5,INDEPENDENT,1601 JACKSON KELLER RD,SAN ANTONIO,78213-3231,30.0,63.0,36.0,26.0
15910108,NORTH EAST ISD,LARKSPUR ELEM.,5,INDEPENDENT,1802 LARKSPUR,SAN ANTONIO,78213-1436,35.0,50.0,25.0,11.0
15910109,NORTH EAST ISD,NORTHWOOD ELEM.,5,INDEPENDENT,519 PIKE RD,SAN ANTONIO,78209-3142,9.0,72.0,57.0,39.0
15910110,NORTH EAST ISD,OAK GROVE ELEM.,5,INDEPENDENT,3250 NACOGDOCHES RD,SAN ANTONIO,78217-3393,25.0,34.0,18.0,8.0
15910111,NORTH EAST ISD,OLMOS ELEM.,5,INDEPENDENT,1103 ALLENA DR,SAN ANTONIO,78213-4107,6.0,59.0,45.0,27.0
15910112,NORTH EAST ISD,RIDGEVIEW ELEM.,5,INDEPENDENT,8223 N MCCULLOUGH AVE,SAN ANTONIO,78216-6499,16.0,63.0,42.0,25.0
15910113,NORTH EAST ISD,SERNA ELEM.,5,INDEPENDENT,2569 N E LOOP 410,SAN ANTONIO,78217-5606,24.0,46.0,18.0,14.0
15910114,NORTH EAST ISD,WALZEM ELEM.,5,INDEPENDENT,4618 WALZEM RD,SAN ANTONIO,78218-1609,17.0,42.0,25.0,13.0
15910115,NORTH EAST ISD,WEST AVENUE ELE,5,,,,,19.0,38.0,16.0,5.0
15910116,NORTH EAST ISD,WILSHIRE ELEM.,5,INDEPENDENT,6523 CASCADE,SAN ANTONIO,78218-4210,4.0,35.0,19.0,11.0
15910117,NORTH EAST ISD,WINDCREST ELEM.,5,INDEPENDENT,465 FAIRCREST DR,SAN ANTONIO,78239-2448,27.0,82.0,31.0,18.0
15910118,NORTH EAST ISD,CAMELOT ELEM.,5,INDEPENDENT,7410 RAY BON DR,SAN ANTONIO,78218-2840,21.0,63.0,39.0,22.0
15910119,NORTH EAST ISD,CLEAR SPRING EL,5,INDEPENDENT,4311 CLEAR SPRING DR,SAN ANTONIO,78217-3605,17.0,41.0,22.0,15.0
15910120,NORTH EAST ISD,REGENCY PLACE E,5,INDEPENDENT,10222 BROADWAY,SAN ANTONIO,78217-4501,9.0,37.0,16.0,9.0
15910121,NORTH EAST ISD,EL DORADO ELEM.,5,INDEPENDENT,12634 EL SENDERO,SAN ANTONIO,78233-6396,25.0,82.0,47.0,23.0
15910122,NORTH EAST ISD,MONTGOMERY ELEM,5,INDEPENDENT,7047 MONTGOMERY DR,SAN ANTONIO,78239-3398,35.0,60.0,26.0,18.0
15910123,NORTH EAST ISD,HIDDEN FOREST E,5,INDEPENDENT,802 SILVER SPRUCE,SAN ANTONIO,78232-2700,4.0,109.0,94.0,82.0
15910124,NORTH EAST ISD,WOODSTONE ELEM.,5,INDEPENDENT,5602 FOUNTAINWOOD,SAN ANTONIO,78233-4999,51.0,91.0,47.0,22.0
15910125,NORTH EAST ISD,STAHL ELEM.,5,INDEPENDENT,5222 STAHL RD,SAN ANTONIO,78247-1713,31.0,99.0,53.0,33.0
15910126,NORTH EAST ISD,THOUSAND OAKS E,5,INDEPENDENT,16080 HENDERSON PASS,SAN ANTONIO,78232-3299,35.0,115.0,80.0,41.0
15910127,NORTH EAST ISD,NORTHERN HILLS,5,INDEPENDENT,13901 HIGGINS RD,SAN ANTONIO,78217-1243,32.0,82.0,50.0,33.0
15910128,NORTH EAST ISD,REDLAND OAKS EL,5,INDEPENDENT,16650 REDLAND RD,SAN ANTONIO,78247-4424,5.0,61.0,45.0,29.0
15910129,NORTH EAST ISD,ENCINO PARK ELE,5,INDEPENDENT,2550 ENCINO RIO,SAN ANTONIO,78259-2031,3.0,118.0,103.0,78.0
15910130,NORTH EAST ISD,FOX RUN ELEM.,5,INDEPENDENT,6111 FOX CREEK,SAN ANTONIO,78247-1127,10.0,117.0,87.0,61.0
15910131,NORTH EAST ISD,OAK MEADOW ELEM,5,INDEPENDENT,2800 HUNTERS GREEN ST,SAN ANTONIO,78231-1602,4.0,66.0,51.0,40.0
15910133,NORTH EAST ISD,STONE OAK ELEM.,5,INDEPENDENT,21045 CRESENT OAK,SAN ANTONIO,78258-3228,5.0,113.0,90.0,61.0
15910134,NORTH EAST ISD,LONGS CREEK ELE,5,INDEPENDENT,15806 O'CONNOR,SAN ANTONIO,78247-1711,8.0,103.0,79.0,63.0
15910135,NORTH EAST ISD,HUEBNER ELEM.,5,INDEPENDENT,16311 HUEBNER RD,SAN ANTONIO,78248-1696,8.0,125.0,95.0,68.0
15910136,NORTH EAST ISD,HARDY OAK ELEM.,5,INDEPENDENT,22900 HARDY OAK BLVD,SAN ANTONIO,78258-3914,1.0,179.0,170.0,148.0
15910137,NORTH EAST ISD,WETMORE ELEM.,5,INDEPENDENT,3250 THOUSAND OAKS,SAN ANTONIO,78247-3317,15.0,84.0,58.0,30.0
15910138,NORTH EAST ISD,ROYAL RIDGE ELE,5,INDEPENDENT,5933 ROYAL RIDGE,SAN ANTONIO,78239-1500,21.0,80.0,40.0,18.0
15910139,NORTH EAST ISD,ROAN FOREST ELE,5,INDEPENDENT,22710 ROAN PARK,SAN ANTONIO,78259-2682,5.0,111.0,103.0,81.0
15910140,NORTH EAST ISD,CANYON RIDGE EL,5,INDEPENDENT,20522 STONE OAK PKWY,SAN ANTONIO,78258-6927,8.0,126.0,108.0,73.0
15910141,NORTH EAST ISD,STEUBING RANCH,5,INDEPENDENT,5100 KNOLL CREEK,SAN ANTONIO,78247-5857,20.0,141.0,112.0,74.0
15910142,NORTH EAST ISD,BULVERDE CREEK,5,INDEPENDENT,3839 CANYON PKWY,SAN ANTONIO,78259-2367,12.0,205.0,169.0,139.0
15910143,NORTH EAST ISD,WILDERNESS OAK,5,INDEPENDENT,21019 WILDERNESS OAK,SAN ANTONIO,78258-2633,4.0,124.0,106.0,81.0
15910144,NORTH EAST ISD,TUSCANY HEIGHTS,5,INDEPENDENT,25001 WILDERNESS OAK,SAN ANTONIO,78260,7.0,149.0,122.0,85.0
15910145,NORTH EAST ISD,CIBOLO GREEN,5,INDEPENDENT,24315 BULVERDE GREEN,SAN ANTONIO,78261,6.0,183.0,150.0,117.0
15910146,NORTH EAST ISD,LAS LOMAS ELEM.,5,INDEPENDENT,20303 HARDY OAK,SAN ANTONIO,78258,3.0,97.0,84.0,64.0
15910147,NORTH EAST ISD,VINEYARD RANCH,5,INDEPENDENT,16818 HUEBNER RD,SAN ANTONIO,78258,3.0,114.0,93.0,80.0
15911042,EAST CENTRAL IS,SALADO INTERMED,5,,,,,130.0,233.0,128.0,57.0
15911108,EAST CENTRAL IS,TRADITION ELEM.,5,INDEPENDENT,12885 FM 1346,ST HEDWIG,78152,37.0,98.0,56.0,30.0
15911110,EAST CENTRAL IS,OAK CREST ELEM.,5,INDEPENDENT,7806 NEW SULPHUR SPRINGS RD,SAN ANTONIO,78263,78.0,185.0,109.0,62.0
15912101,SOUTHWEST ISD,SOUTHWEST ELEM.,5,INDEPENDENT,11914 DRAGON LN,SAN ANTONIO,78252-2647,11.0,84.0,55.0,33.0
15912102,SOUTHWEST ISD,SUN VALLEY ELEM,5,INDEPENDENT,6803 S W LOOP 410,SAN ANTONIO,78227,18.0,73.0,45.0,29.0
15912103,SOUTHWEST ISD,INDIAN CREEK EL,5,INDEPENDENT,5830 OLD PEARSALL RD,SAN ANTONIO,78242,12.0,88.0,59.0,30.0
15912104,SOUTHWEST ISD,BOB HOPE ELEM.,5,INDEPENDENT,3022 REFORMA,SAN ANTONIO,78211,11.0,59.0,45.0,25.0
15912105,SOUTHWEST ISD,SKY HARBOUR ELE,5,INDEPENDENT,5902 FISHERS BEND,SAN ANTONIO,78242,15.0,87.0,54.0,29.0
15912106,SOUTHWEST ISD,HIDDEN COVE ELE,5,INDEPENDENT,5102 TRADING POST,SAN ANTONIO,78242,24.0,74.0,49.0,20.0
15912107,SOUTHWEST ISD,BIG COUNTRY ELE,5,INDEPENDENT,2250 PUE RD,SAN ANTONIO,78245,3.0,100.0,82.0,55.0
15912108,SOUTHWEST ISD,ELM CREEK ELEM.,5,INDEPENDENT,11535 PEARSALL RD,ATASCOSA,78002,8.0,107.0,76.0,45.0
15912109,SOUTHWEST ISD,KRIEWALD ROAD E,5,INDEPENDENT,10355 KRIEWALD RD,SAN ANTONIO,78245,19.0,77.0,50.0,31.0
15912110,SOUTHWEST ISD,SPICEWOOD PARK,5,INDEPENDENT,11303 TILSON,SAN ANTONIO,78224,22.0,53.0,29.0,11.0
15912111,SOUTHWEST ISD,MEDIO CREEK ELE,5,INDEPENDENT,6511 OLD PEARSALL RD,SAN ANTONIO,78252,16.0,81.0,55.0,36.0
15913101,LACKLAND ISD,LACKLAND ELEM.,5,INDEPENDENT,2460 KENLY AVE BLDG 8265,SAN ANTONIO,78236-1244,7.0,75.0,57.0,45.0
15914101,FORT SAM HOUSTO,FORT SAM HOUSTO,5,INDEPENDENT,4351 NURSERY RD,SAN ANTONIO,78234-1499,10.0,96.0,65.0,45.0
15915101,NORTHSIDE ISD,CABLE ELEM.,5,INDEPENDENT,1706 PINN RD,SAN ANTONIO,78227-2998,29.0,68.0,34.0,20.0
15915102,NORTHSIDE ISD,GLENN ELEM.,5,INDEPENDENT,2385 HORAL,SAN ANTONIO,78227-2499,29.0,51.0,27.0,17.0
15915103,NORTHSIDE ISD,GLENOAKS ELEM.,5,INDEPENDENT,5103 NEWCOME DR,SAN ANTONIO,78229-4924,17.0,80.0,60.0,42.0
15915104,NORTHSIDE ISD,HELOTES ELEM.,5,INDEPENDENT,13878 RIGGS RD,HELOTES,78023-3916,4.0,70.0,51.0,35.0
15915105,NORTHSIDE ISD,HULL ELEM.,5,INDEPENDENT,7320 REMUDA DR,SAN ANTONIO,78227-2899,22.0,55.0,28.0,12.0
15915106,NORTHSIDE ISD,ALLEN ELEM.,5,INDEPENDENT,101 DUMONT DR,SAN ANTONIO,78227-4499,7.0,75.0,52.0,33.0
15915107,NORTHSIDE ISD,FISHER ELEM.,5,INDEPENDENT,3430 BARREL PASS,SAN ANTONIO,78245,19.0,101.0,54.0,27.0
15915108,NORTHSIDE ISD,LEON VALLEY ELE,5,INDEPENDENT,7111 HUEBNER RD,SAN ANTONIO,78240-3199,17.0,68.0,46.0,36.0
15915109,NORTHSIDE ISD,LOCKE HILL ELEM,5,INDEPENDENT,5050 DE ZAVALA RD,SAN ANTONIO,78249-2099,28.0,75.0,45.0,26.0
15915111,NORTHSIDE ISD,GLASS ELEM.,5,INDEPENDENT,519 CLEARVIEW DR,SAN ANTONIO,78228-2498,10.0,71.0,52.0,27.0
15915112,NORTHSIDE ISD,POWELL ELEM.,5,INDEPENDENT,6003 THUNDER DR,SAN ANTONIO,78238-3499,21.0,72.0,45.0,27.0
15915113,NORTHSIDE ISD,VALLEY HI ELEM.,5,INDEPENDENT,8503 RAY ELLISON DR,SAN ANTONIO,78227-4599,11.0,59.0,41.0,24.0
15915114,NORTHSIDE ISD,WESTWOOD TERRAC,5,INDEPENDENT,2315 HACKAMORE LN,SAN ANTONIO,78227-3499,9.0,66.0,41.0,28.0
15915115,NORTHSIDE ISD,COLONIES NORTH,5,INDEPENDENT,9915 NORTHAMPTON DR,SAN ANTONIO,78230-4081,35.0,60.0,31.0,14.0
15915116,NORTHSIDE ISD,VILLARREAL ELEM,5,INDEPENDENT,2902 WHITE TAIL DR,SAN ANTONIO,78228-2799,21.0,94.0,55.0,27.0
15915117,NORTHSIDE ISD,MEADOW VILLAGE,5,INDEPENDENT,1406 MEADOW WAY DR,SAN ANTONIO,78227-1642,32.0,66.0,30.0,14.0
15915118,NORTHSIDE ISD,OAK HILLS TERRA,5,INDEPENDENT,5710 CARY GRANT DR,SAN ANTONIO,78240-2499,28.0,70.0,38.0,22.0
15915119,NORTHSIDE ISD,HOWSMAN ELEM.,5,INDEPENDENT,11431 VANCE JACKSON RD,SAN ANTONIO,78230-1899,19.0,85.0,58.0,40.0
15915122,NORTHSIDE ISD,PASSMORE ELEM.,5,INDEPENDENT,570 PINN RD,SAN ANTONIO,78227-1299,14.0,64.0,34.0,18.0
15915123,NORTHSIDE ISD,ADAMS HILL ELEM,5,INDEPENDENT,9627 ADAMS HILL DR,SAN ANTONIO,78245-1999,12.0,68.0,44.0,24.0
15915124,NORTHSIDE ISD,ESPARZA ELEM.,5,INDEPENDENT,5700 HEMPHILL DR,SAN ANTONIO,78228-4392,25.0,47.0,23.0,9.0
15915125,NORTHSIDE ISD,BOONE ELEM.,5,INDEPENDENT,6614 SPRINGTIME DR,SAN ANTONIO,78249-2799,23.0,65.0,42.0,17.0
15915128,NORTHSIDE ISD,CARLOS COON ELE,5,INDEPENDENT,3110 TIMBER VIEW,SAN ANTONIO,78251-1899,33.0,95.0,45.0,22.0
15915130,NORTHSIDE ISD,MURNIN ELEM.,5,INDEPENDENT,9019 DUGAS,SAN ANTONIO,78251,31.0,125.0,85.0,51.0
15915131,NORTHSIDE ISD,LINTON ELEM.,5,INDEPENDENT,2103 OAKHILL RD,SAN ANTONIO,78238-4999,5.0,77.0,49.0,28.0
15915132,NORTHSIDE ISD,TIMBERWILDE ELE,5,INDEPENDENT,8838 TIMBERWILDE,SAN ANTONIO,78250-4330,15.0,83.0,42.0,21.0
15915134,NORTHSIDE ISD,BRAUN STATION E,5,INDEPENDENT,8631 TEZEL RD,SAN ANTONIO,78254,3.0,75.0,57.0,36.0
15915135,NORTHSIDE ISD,CODY ELEM.,5,INDEPENDENT,10403 DUGAS DR,SAN ANTONIO,78245-1099,17.0,73.0,44.0,28.0
15915136,NORTHSIDE ISD,NORTHWEST CROSS,5,INDEPENDENT,10255 DOVER RDG,SAN ANTONIO,78250-2969,21.0,73.0,50.0,29.0
15915138,NORTHSIDE ISD,KNOWLTON ELEM.,5,INDEPENDENT,9500 TIMBER PATH,SAN ANTONIO,78250-3900,11.0,95.0,75.0,51.0
15915141,NORTHSIDE ISD,FORESTER ELEM.,5,INDEPENDENT,10726 ROUSSEAU,SAN ANTONIO,78245,16.0,117.0,75.0,47.0
15915143,NORTHSIDE ISD,SCOBEE ELEM.,5,INDEPENDENT,11223 CEDAR PARK,SAN ANTONIO,78249-4289,5.0,80.0,65.0,49.0
15915144,NORTHSIDE ISD,GALM ELEM.,5,INDEPENDENT,1454 SAXON HILL DR,SAN ANTONIO,78253-5922,18.0,85.0,68.0,34.0
15915145,NORTHSIDE ISD,ELROD ELEM.,5,INDEPENDENT,8885 HEATH CIR DR,SAN ANTONIO,78250-4657,7.0,73.0,47.0,35.0
15915148,NORTHSIDE ISD,WANKE ELEM.,5,INDEPENDENT,10419 OLD PRUE RD,SAN ANTONIO,78249,7.0,96.0,69.0,43.0
15915149,NORTHSIDE ISD,THORNTON ELEM.,5,INDEPENDENT,6450 PEMBROKE,SAN ANTONIO,78240-2585,14.0,97.0,71.0,47.0
15915150,NORTHSIDE ISD,BRAUCHLE ELEM.,5,INDEPENDENT,8555 BOWENS CROSSING,SAN ANTONIO,78250-2719,21.0,100.0,70.0,49.0
15915151,NORTHSIDE ISD,FERNANDEZ ELEM.,5,INDEPENDENT,6845 RIDGEBROOK,SAN ANTONIO,78250-3839,5.0,82.0,64.0,44.0
15915152,NORTHSIDE ISD,LEON SPRINGS EL,5,INDEPENDENT,23881 IH 10 W,SAN ANTONIO,78257-1157,5.0,81.0,69.0,54.0
15915156,NORTHSIDE ISD,EVERS ELEM.,5,INDEPENDENT,1715 RICHLAND HILLS DR,SAN ANTONIO,78251-2979,13.0,113.0,83.0,58.0
15915157,NORTHSIDE ISD,MAY ELEM.,5,INDEPENDENT,15707 CHASE HILL,SAN ANTONIO,78256-1014,21.0,69.0,35.0,25.0
15915158,NORTHSIDE ISD,MCDERMOTT ELEM.,5,INDEPENDENT,5111 USAA BLVD,SAN ANTONIO,78240-5010,31.0,60.0,33.0,19.0
15915160,NORTHSIDE ISD,MYERS ELEM.,5,INDEPENDENT,3031 VILLAGE PKWY,SAN ANTONIO,78251-1830,21.0,74.0,47.0,27.0
15915161,NORTHSIDE ISD,STEUBING ELEM.,5,INDEPENDENT,11655 BRAEFIELD,SAN ANTONIO,78249-1699,6.0,78.0,59.0,44.0
15915162,NORTHSIDE ISD,MICHAEL ELEM.,5,INDEPENDENT,3155 QUIET PLAIN,SAN ANTONIO,78245-3039,23.0,116.0,69.0,26.0
15915165,NORTHSIDE ISD,CARSON ELEM.,5,INDEPENDENT,8151 OLD TEZEL RD,SAN ANTONIO,78250-3084,4.0,92.0,77.0,60.0
15915166,NORTHSIDE ISD,BURKE ELEM.,5,INDEPENDENT,10111 TERRA OAK,SAN ANTONIO,78250-3380,3.0,70.0,59.0,44.0
15915167,NORTHSIDE ISD,RABA ELEM.,5,INDEPENDENT,9740 MISTY ROCK,SAN ANTONIO,78251-4723,6.0,126.0,106.0,82.0
15915168,NORTHSIDE ISD,LEWIS ELEM.,5,INDEPENDENT,1000 SEASCAPE DR,SAN ANTONIO,78251,10.0,104.0,74.0,50.0
15915169,NORTHSIDE ISD,RHODES ELEM.,5,INDEPENDENT,5714 N KNOLL,SAN ANTONIO,78240-2238,15.0,63.0,38.0,22.0
15915170,NORTHSIDE ISD,NICHOLS ELEM.,5,INDEPENDENT,9560 BRAUN RD,SAN ANTONIO,78254-6703,9.0,81.0,47.0,23.0
15915171,NORTHSIDE ISD,DRIGGERS ELEM.,5,INDEPENDENT,6901 SHADOW MIST,SAN ANTONIO,78238,12.0,75.0,49.0,28.0
15915177,NORTHSIDE ISD,CARNAHAN ELEM.,5,INDEPENDENT,6839 BABCOCK RD,SAN ANTONIO,78249,17.0,68.0,43.0,29.0
15915178,NORTHSIDE ISD,AUE ELEM.,5,INDEPENDENT,24750 BAYWATER STAGE,SAN ANTONIO,78255,8.0,97.0,85.0,65.0
15915179,NORTHSIDE ISD,SCARBOROUGH ELE,5,INDEPENDENT,12280 SILVER POINTE,SAN ANTONIO,78238-1699,20.0,170.0,146.0,115.0
15915180,NORTHSIDE ISD,BEARD ELEM.,5,INDEPENDENT,8725 SONOMA PKWY,HELOTES,78023,4.0,118.0,101.0,78.0
15915181,NORTHSIDE ISD,BLATTMAN ELEM.,5,INDEPENDENT,3300 N LOOP 1604 W,SAN ANTONIO,78231,2.0,84.0,77.0,65.0
15915182,NORTHSIDE ISD,OTT ELEM.,5,INDEPENDENT,100 N GROSENBACHER,SAN ANTONIO,78253,14.0,118.0,76.0,36.0
15915183,NORTHSIDE ISD,WARD ELEM.,5,INDEPENDENT,8400 CAVERN HILL,SAN ANTONIO,78254,7.0,134.0,101.0,71.0
15915184,NORTHSIDE ISD,HATCHETT ELEM.,5,INDEPENDENT,10700 INGRAM RD,SAN ANTONIO,78245,26.0,112.0,67.0,29.0
15915185,NORTHSIDE ISD,MEAD ELEM.,5,INDEPENDENT,3803 MID HORIZON DR,SAN ANTONIO,78229,22.0,66.0,44.0,27.0
15915186,NORTHSIDE ISD,KRUEGER ELEM.,5,INDEPENDENT,9900 WILDHORSE PKWY,SAN ANTONIO,78254-1699,8.0,115.0,84.0,57.0
15915187,NORTHSIDE ISD,LANGLEY ELEM.,5,INDEPENDENT,14185 BELLA VISTA PLACE,SAN ANTONIO,78253,8.0,75.0,47.0,34.0
15915188,NORTHSIDE ISD,HOFFMANN ELEM.,5,INDEPENDENT,12118 VOLUNTEER PKWY,SAN ANTONIO,78253,19.0,160.0,126.0,86.0
15915189,NORTHSIDE ISD,MARTIN ELEM.,5,INDEPENDENT,730 CANTERBURY DR,SAN ANTONIO,78228-1699,38.0,71.0,30.0,12.0
15915191,NORTHSIDE ISD,KUENTZ ELEM.,5,INDEPENDENT,12303 LESLIE RD,HELOTES,78023,9.0,138.0,112.0,76.0
15915192,NORTHSIDE ISD,BEHLAU ELEM.,5,INDEPENDENT,2355 CAMP LIGHT WAY,SAN ANTONIO,78245,14.0,81.0,58.0,28.0
15915193,NORTHSIDE ISD,FRANKLIN ELEM.,5,INDEPENDENT,9180 SILVER SPOT,SAN ANTONIO,78254,6.0,99.0,76.0,55.0
15915195,NORTHSIDE ISD,MIRELES ELEM.,5,INDEPENDENT,12260 ROCKWALL MILL,SAN ANTONIO,78253,9.0,158.0,136.0,108.0
15915198,NORTHSIDE ISD,HENDERSON ELEM.,5,INDEPENDENT,14605 KALLISON BEND,SAN ANTONIO,78254,9.0,85.0,67.0,37.0
15915223,NORTHSIDE ISD,KALLISON ELEM.,5,INDEPENDENT,8610 RANCH VIEW E,SAN ANTONIO,78235,5.0,128.0,112.0,89.0
15915224,NORTHSIDE ISD,MORA ELEM.,5,INDEPENDENT,1520 AMERICAN LOTUS,SAN ANTONIO,78245,15.0,60.0,33.0,22.0
15915225,NORTHSIDE ISD,LIECK ELEM.,5,INDEPENDENT,12600 REID RANCH,SAN ANTONIO,78245,9.0,96.0,62.0,37.0
15915226,NORTHSIDE ISD,FIELDS ELEM.,5,INDEPENDENT,9570 FM 1560 N,SAN ANTONIO,78254,12.0,141.0,110.0,73.0
15915227,NORTHSIDE ISD,BOLDT ELEM.,5,INDEPENDENT,310 HOLLIMON PKWY,SAN ANTONIO,78253,13.0,114.0,78.0,43.0
15915228,NORTHSIDE ISD,COLE ELEM.,5,INDEPENDENT,13185 TILLMAN RIDGE,SAN ANTONIO,78253,10.0,128.0,101.0,82.0
15915230,NORTHSIDE ISD,MCANDREW ELEM.,5,INDEPENDENT,26615 TOUTANT BEAUREGARD,SAN ANTONIO,78006,0.0,55.0,51.0,41.0
15915234,NORTHSIDE ISD,ELLISON ELEM.,5,INDEPENDENT,7132 OAK DR,SAN ANTONIO,78256,8.0,82.0,51.0,32.0
15915236,NORTHSIDE ISD,LOS REYES ELEM.,5,INDEPENDENT,10785 TRIANA PKWY,HELOTES,78023,9.0,97.0,80.0,57.0
15916101,JUDSON ISD,CONVERSE ELEM.,5,INDEPENDENT,6720 FM 1516,CONVERSE,78109,23.0,62.0,30.0,12.0
15916102,JUDSON ISD,HOPKINS ELEM.,5,INDEPENDENT,2440 ACKERMAN RD,SAN ANTONIO,78219-2114,15.0,92.0,63.0,31.0
15916103,JUDSON ISD,ED FRANZ ELEM.,5,INDEPENDENT,12301 WELCOME DR,SAN ANTONIO,78233-2599,16.0,51.0,21.0,8.0
15916104,JUDSON ISD,CORONADO VILLAG,5,INDEPENDENT,213 AMISTAD BLVD,UNIVERSAL CITY,78148-3199,9.0,54.0,29.0,17.0
15916105,JUDSON ISD,PARK VILLAGE EL,5,INDEPENDENT,5855 E MIDCROWN DR,SAN ANTONIO,78218-4199,17.0,62.0,24.0,13.0
15916106,JUDSON ISD,CRESTVIEW ELEM.,5,INDEPENDENT,7710 NARROW PASS,SAN ANTONIO,78233-2999,1.0,79.0,69.0,46.0
15916107,JUDSON ISD,WOODLAKE ELEM.,5,INDEPENDENT,5501 LK BEND E,SAN ANTONIO,78244-1699,16.0,80.0,50.0,26.0
15916109,JUDSON ISD,OLYMPIA ELEM.,5,INDEPENDENT,8439 ATHENIAN,UNIVERSAL CITY,78148-2601,10.0,53.0,36.0,18.0
15916110,JUDSON ISD,SPRING MEADOWS,5,INDEPENDENT,7135 ELM TRL,SAN ANTONIO,78244-1869,27.0,82.0,45.0,31.0
15916111,JUDSON ISD,MILLER POINT EL,5,INDEPENDENT,7027 MISTY RDG,CONVERSE,78109-2756,10.0,78.0,51.0,24.0
15916112,JUDSON ISD,CANDLEWOOD ELEM,5,INDEPENDENT,3635 CANDLEGLEN,SAN ANTONIO,78244-0249,33.0,62.0,34.0,15.0
15916113,JUDSON ISD,ELOLF ELEM.,5,INDEPENDENT,6335 BEECH TRL,CONVERSE,78109-3352,17.0,75.0,45.0,30.0
15916114,JUDSON ISD,WILLIAM PASCHAL,5,INDEPENDENT,6351 LAKEVIEW DR,SAN ANTONIO,78244,27.0,84.0,49.0,32.0
15916115,JUDSON ISD,MARY LOU HARTMA,5,INDEPENDENT,7203 WOODLAKE PKWY,SAN ANTONIO,78218,21.0,87.0,50.0,29.0
15916116,JUDSON ISD,RICARDO SALINAS,5,INDEPENDENT,10560 OLD CIMMARON TRL,UNIVERSAL CITY,78148,8.0,107.0,78.0,49.0
15916117,JUDSON ISD,JAMES L. MASTER,5,INDEPENDENT,2650 WOODLAKE PKWY,CONVERSE,78109,13.0,40.0,26.0,16.0
15916118,JUDSON ISD,ROLLING MEADOWS,5,INDEPENDENT,17222 FM 2252,SAN ANTONIO,78233,11.0,106.0,73.0,33.0
15916119,JUDSON ISD,COPPERFIELD ELE,5,INDEPENDENT,7595 E LOOP 1604 N,CONVERSE,78109-2915,10.0,79.0,52.0,36.0
15916123,JUDSON ISD,ESCONDIDO ELEM.,5,INDEPENDENT,5000 TEXAS PALM,CONVERSE,78109,19.0,68.0,35.0,13.0
15916124,JUDSON ISD,WORTHAM OAKS EL,5,INDEPENDENT,5710 CARRIAGE CAPE,SAN ANTONIO,78261-1111,0.0,47.0,39.0,20.0
15917102,SOUTHSIDE ISD,W.M. PEARCE PRI,5,INDEPENDENT,19190 HWY 281 S #3,SAN ANTONIO,78221-9648,56.0,51.0,22.0,14.0
